"ME_MHCII_high_S1"	"ME_MHCII_high_S2"	"ME_MHCII_high_S3"	"ME_MHCII_high_S4"	"ME_MHCII_int_S1"	"ME_MHCII_int_S2"	"ME_MHCII_int_S3"	"ME_MHCII_int_S4"	"PM_S1_2_S4"	"PM_S2_1_S1"	"PM_S3_1_S2"	"PM_S4_1_S3"
"Rps27a"	2298	2233	2375	2037	1380	1683	1545	1495	5350	3966	6790	3086
"Rps27l"	1802	1140	1613	1433	1117	1228	1011	1200	3567	2418	4157	1985
"Rps27rt"	0	0	0	0	0	0	0	0	0	0	0	0
"Rps28"	622	789	963	801	534	514	468	576	1575	1529	1886	928
"Rps29"	2303	3761	3708	3426	2653	2448	2196	2736	4925	5315	5414	2817
"Rps3"	5519	3890	4809	4608	3733	5164	3963	3873	10624	7787	12766	5999
"Rps3a1"	5515	5279	5368	4993	3819	4978	3996	4224	13318	10802	14508	8804
"Rps4l"	568	487	367	342	656	955	771	619	1000	720	1176	687
"Rps4x"	2815	2435	2672	2334	1633	2483	1905	1929	5208	4624	5441	3772
"Rps5"	2252	1787	1954	1996	1405	1634	1328	1569	5032	4269	6124	3148
"Rps6"	5404	3972	4211	4550	3378	4167	3187	3807	10802	8696	12377	7328
"Rps6ka1"	15349	9115	8496	10216	9799	10566	7533	8368	4891	5080	4369	5672
"Rps6ka2"	324	236	240	217	113	164	180	231	312	241	90	229
"Rps6ka3"	523	490	490	538	463	457	594	525	832	822	951	799
"Rps6ka4"	3372	1781	2358	2185	2686	3813	2869	2558	3028	3178	2801	3094
"Rps6ka5"	701	691	457	550	393	555	340	499	387	324	159	133
"Rps6ka6"	0	0	0	0	0	0	0	0	0	0	0	0
"Rps6kb1"	905	639	608	994	746	787	884	1136	936	1017	941	637
"Rps6kb2"	213	237	222	298	260	387	376	439	276	313	366	256
"Rps6kc1"	1709	1001	1000	1201	1689	2297	1948	1717	660	802	685	536
"Rps6kl1"	0	0	0	0	0	1	3	0	0	0	0	0
"Rps7"	2996	2528	2832	2637	1815	2192	1614	2080	7414	6005	8983	4419
"Rps8"	1909	1728	2078	1718	1299	1536	1215	1525	5245	4401	7145	3367
"Rps9"	7317	5897	6566	6504	5056	6335	5141	5280	15079	11738	17180	9072
"Rpsa"	4499	3149	3851	3372	2554	3868	3018	2880	10430	9243	14585	7816
"Rptn"	0	0	0	0	0	0	0	0	0	0	0	0
"Rptor"	2524	1335	1386	1764	2049	1896	1700	1897	828	836	800	785
"Rptoros"	3	0	10	6	8	5	0	0	0	0	0	0
"Rpusd1"	351	400	156	255	317	377	315	364	383	196	346	220
"Rpusd2"	65	37	28	44	46	123	36	33	73	55	64	61
"Rpusd3"	49	41	52	39	68	71	73	54	68	58	63	32
"Rpusd4"	863	526	473	731	648	762	753	664	826	686	841	643
"Rqcd1"	1011	711	619	900	891	928	639	924	1117	838	943	876
"Rrad"	1156	778	1048	990	648	911	977	880	42	22	41	37
"Rraga"	1963	1595	1876	1896	1640	2090	1696	1872	1230	1254	1678	886
"Rragb"	42	25	21	47	23	0	11	0	0	0	0	0
"Rragc"	8384	5756	5903	6019	7381	7839	7230	8193	5309	5013	5262	4230
"Rragd"	29	32	47	68	54	127	59	59	41	68	12	10
"Rras"	1119	706	674	803	965	1212	1020	1182	2519	2613	1725	2326
"Rras2"	504	253	214	289	402	254	294	424	4548	3789	3670	3209
"Rrbp1"	7475	4814	4742	5657	6492	5851	5055	6043	3479	4320	2593	4921
"Rreb1"	2679	2342	1586	2387	3005	2868	2369	2339	1478	1839	1193	2122
"Rrh"	0	0	0	0	0	0	0	0	0	0	0	0
"Rrm1"	2429	1505	1499	1851	1414	1611	1367	1677	4659	2311	5171	2418
"Rrm2"	904	310	273	518	382	249	183	245	3217	1615	2978	1262
"Rrm2b"	618	310	454	492	403	425	495	671	459	382	260	227
"Rrn3"	1513	927	1016	1163	1169	1389	1215	1251	1157	1389	1235	1101
"Rrnad1"	219	206	229	265	209	195	239	406	203	229	196	147
"Rrp1"	4345	3114	3125	3741	4068	4723	3623	3967	4065	4580	4164	3270
"Rrp12"	408	194	200	253	444	309	200	232	622	549	1126	903
"Rrp15"	501	377	322	387	408	462	366	395	557	598	1002	588
"Rrp1b"	383	186	266	312	456	428	435	535	466	534	759	598
"Rrp36"	923	718	659	715	756	871	990	743	731	665	768	555
"Rrp7a"	1505	831	935	876	1060	1380	988	968	1322	1298	1460	1129
"Rrp8"	616	501	384	528	494	637	523	540	611	590	869	481
"Rrp9"	493	276	339	300	372	422	383	486	445	494	824	405
"Rrs1"	629	305	423	376	529	661	449	391	833	838	1216	765
"Rs1"	33	0	0	16	0	0	4	0	4	0	6	0
"Rsad1"	116	103	94	86	92	184	163	94	99	120	162	70
"Rsad2"	5176	1210	4135	3038	4645	2923	5412	4111	1227	261	193	1040
"Rsbn1"	837	664	517	637	771	781	633	741	479	556	358	387
"Rsbn1l"	560	397	317	443	400	348	330	679	322	354	346	224
"Rsc1a1"	0	0	0	0	2	0	0	0	0	0	0	0
"Rsf1"	703	695	721	647	794	431	712	924	526	543	342	503
"Rsf1os1"	1	0	0	0	0	0	0	0	0	0	0	0
"Rsg1"	14	3	39	6	5	18	13	6	11	14	3	4
"Rsl1"	330	208	206	262	231	350	152	182	221	210	158	97
"Rsl1d1"	2363	1572	1573	1784	1671	1901	1793	1867	2924	2336	4046	2197
"Rsl24d1"	1185	843	1032	918	914	1115	823	906	1371	1131	1766	1041
"Rslcan18"	44	2	13	17	16	17	43	37	30	12	35	13
"Rsph1"	3	0	2	0	2	0	0	0	9	0	0	0
"Rsph14"	0	0	0	0	0	0	0	0	0	0	0	0
"Rsph3a"	220	172	186	244	160	229	153	133	136	157	132	150
"Rsph3b"	94	137	43	90	97	93	90	66	76	68	50	73
"Rsph4a"	0	9	0	3	0	0	9	3	0	0	0	0
"Rsph6a"	0	0	0	0	0	0	0	0	0	0	0	0
"Rsph9"	35	18	43	22	61	65	58	103	14	8	9	15
"Rspo1"	6	10	7	12	3	9	27	28	0	0	0	2
"Rspo2"	0	0	0	0	1	0	0	0	0	0	0	0
"Rspo3"	106	171	31	202	92	113	27	156	0	0	0	0
"Rspo4"	0	0	0	0	0	0	0	0	0	0	0	0
"Rspry1"	1739	1374	1467	1623	1632	1425	1676	1616	1427	1385	1139	1251
"Rsrc1"	1175	806	874	1039	763	831	733	847	1070	1010	1049	956
"Rsrc2"	853	695	940	880	816	1150	818	1178	961	849	926	676
"Rsrp1"	9309	3730	4373	6050	10129	8529	8069	8964	15090	9345	12521	5780
"Rsu1"	3975	3360	3447	3079	3148	3551	2963	3295	3841	4752	3969	3083
"Rtbdn"	6	0	0	9	7	0	0	0	4	0	0	2
"Rtca"	569	333	385	421	596	536	539	593	708	592	715	565
"Rtcb"	4259	2830	2954	3228	2899	3576	2735	2965	2671	2331	2721	2301
"Rtel1"	183	59	66	109	58	99	76	127	879	832	828	588
"Rtf1"	578	452	447	574	573	547	527	520	444	516	549	345
"Rtfdc1"	3929	2804	2369	3350	3295	4388	3265	3189	3516	2964	3128	2598
"Rtkn"	69	59	5	14	92	143	38	101	25	77	41	36
"Rtkn2"	88	86	82	155	202	259	198	179	41	30	11	23
"Rtl1"	0	0	0	0	0	0	0	0	0	0	0	0
"Rtn1"	1725	1191	1312	1273	433	476	339	362	0	20	0	20
"Rtn2"	12	13	0	24	4	32	22	6	0	9	1	10
"Rtn3"	6164	4278	4506	4739	5572	7329	5426	5594	6276	6441	6434	5843
"Rtn4"	5353	4003	5028	4484	3788	4709	4812	4342	2755	2648	2408	1953
"Rtn4ip1"	350	237	189	266	338	431	283	283	481	561	701	489
"Rtn4r"	0	6	0	0	0	0	0	0	3	0	0	0
"Rtn4rl1"	494	294	284	399	648	951	814	676	240	336	164	308
"Rtn4rl2"	0	0	0	0	7	0	5	0	0	0	0	0
"Rtp1"	0	0	0	0	0	0	0	0	0	0	0	0
"Rtp2"	0	0	0	0	0	0	0	0	0	0	0	0
"Rtp3"	0	0	5	0	3	0	0	0	1	0	0	0
"Rtp4"	9516	2721	4195	5567	7145	3840	4504	6152	7783	2155	3033	4801
"Rttn"	159	216	277	251	302	346	277	281	259	210	127	180
"Rubie"	0	0	0	0	0	0	0	0	0	0	0	0
"Rufy1"	2120	1187	1542	1625	1874	1957	2075	2110	2046	1701	1943	1628
"Rufy2"	347	333	270	381	340	274	303	304	541	504	563	279
"Rufy3"	1715	999	1186	1239	1284	1162	1009	1220	860	1001	1009	709
"Rufy4"	0	4	7	0	3	0	8	0	21	0	10	3
"Rundc1"	1108	611	791	826	1079	1216	1149	952	855	952	681	790
"Rundc3a"	60	19	24	21	36	32	58	46	7	17	33	30
"Rundc3b"	22	3	18	0	22	8	1	25	0	10	0	0
"Runx1"	6042	4947	5433	5524	4974	5826	5289	5465	615	721	497	654
"Runx1t1"	9	8	7	0	0	15	2	1	0	0	0	0
"Runx2"	66	55	56	166	43	23	54	47	10	29	14	2
"Runx3"	986	523	581	638	147	252	121	146	340	371	282	502
"Rusc1"	237	138	193	229	167	217	162	215	229	182	218	247
"Rusc2"	1244	965	849	726	1922	1894	1529	1465	888	1228	714	934
"Ruvbl1"	1152	757	1030	914	837	1166	1123	944	1258	1325	1590	1154
"Ruvbl2"	890	526	689	730	615	1129	663	625	1069	928	1691	935
"Rwdd1"	964	813	709	731	996	924	707	659	1504	1194	1703	901
"Rwdd2a"	123	100	93	102	50	154	126	77	171	124	213	101
"Rwdd2b"	166	94	85	158	119	160	122	103	308	147	331	163
"Rwdd3"	19	62	45	21	30	74	82	115	11	14	38	27
"Rwdd4a"	509	409	530	479	432	573	360	685	681	560	912	496
"Rxfp1"	0	0	0	0	0	0	0	0	0	0	0	0
"Rxfp2"	0	0	0	0	0	0	0	0	0	0	0	0
"Rxfp3"	0	1	0	0	0	0	0	0	0	0	0	0
"Rxfp4"	0	0	0	0	0	0	2	0	0	0	0	1
"Rxra"	3311	2581	2147	2590	3693	4441	3445	3039	3283	4984	3353	5177
"Rxrb"	2866	1750	1718	2056	2238	2856	2568	2244	1855	1689	1577	1757
"Rxrg"	88	2	29	5	3	13	14	34	56	81	74	63
"Rybp"	1367	861	1101	967	1031	1309	1283	1175	798	937	891	967
"Ryk"	230	151	73	183	297	300	212	271	1085	1116	1206	1130
"Ryr1"	6	7	11	6	0	10	18	12	507	349	244	581
"Ryr2"	0	0	0	0	0	0	0	0	372	708	515	311
"Ryr3"	0	0	0	0	2	2	3	1	7	0	8	0
"S100a1"	855	737	988	837	817	1070	972	763	3220	2407	3680	1927
"S100a10"	786	590	648	674	366	488	380	402	6080	5906	8747	4214
"S100a11"	647	674	787	854	266	238	281	495	1793	2055	1909	1522
"S100a13"	679	643	585	702	455	535	495	500	1670	1514	1858	999
"S100a14"	0	0	0	0	0	0	0	0	3	0	2	0
"S100a16"	71	98	124	93	55	51	65	59	0	0	0	0
"S100a2"	0	0	0	0	0	0	0	0	0	0	0	0
"S100a3"	0	0	0	0	0	0	0	0	0	0	0	0
"S100a4"	120	116	69	132	54	95	68	84	1099	1440	1637	781
"S100a5"	0	0	3	0	0	0	10	0	5	0	0	0
"S100a6"	464	293	404	549	121	210	73	159	1556	1843	1876	1245
"S100a7a"	0	0	0	0	2	0	0	0	0	0	0	0
"S100a8"	0	3	0	0	0	0	1	7	51	49	49	35
"S100a9"	0	5	5	0	0	0	0	18	0	0	0	0
"S100b"	76	109	98	126	89	79	78	99	0	3	0	0
"S100g"	1	0	0	2	0	0	0	0	0	2	3	0
"S100pbp"	109	129	123	121	110	67	118	154	91	69	47	62
"S100z"	0	0	0	0	0	0	0	0	0	0	0	0
"S1pr1"	2710	2455	2414	2112	4348	6756	5169	5389	4485	6976	5555	5137
"S1pr2"	4530	2797	2429	2919	3399	4027	2779	3124	302	305	211	255
"S1pr3"	90	43	77	24	46	8	31	52	0	0	0	0
"S1pr4"	4	23	3	6	16	6	25	14	110	54	70	135
"S1pr5"	14	8	0	0	5	245	66	238	3510	3310	2637	3570
"Saa1"	0	0	0	0	0	0	0	0	0	9	0	0
"Saa2"	0	0	0	0	0	0	0	0	0	0	0	0
"Saa3"	0	1	0	3	5	9	0	59	89887	50295	91424	32137
"Saa4"	0	0	0	0	0	0	0	0	0	0	0	0
"Saal1"	357	308	243	310	249	400	231	334	610	342	699	373
"Sac3d1"	438	231	196	205	327	477	355	247	413	311	530	421
"Sacm1l"	3849	3012	3052	2884	3923	4226	3681	4047	3692	3645	4255	2580
"Sacs"	15	5	8	57	2	28	5	17	31	11	0	11
"Sae1"	2608	1498	1654	1636	1783	1605	1550	1733	2310	1830	2752	1878
"Safb"	1629	980	1108	1360	1463	1738	1136	1388	1365	1169	1092	1166
"Safb2"	1395	779	832	1157	957	1052	999	1073	916	800	870	925
"Sag"	339	49	53	90	54	57	98	56	0	5	1	2
"Sall1"	13	22	12	38	223	253	292	343	0	0	0	0
"Sall2"	182	135	186	201	135	164	124	132	1	32	0	21
"Sall3"	1	0	0	2	32	56	63	59	0	0	0	0
"Sall4"	0	0	0	0	0	0	0	0	0	0	0	0
"Samd1"	583	432	320	301	423	556	453	434	241	230	351	314
"Samd10"	194	182	101	106	177	199	163	177	219	181	208	199
"Samd11"	42	4	0	0	2	0	21	9	0	0	0	2
"Samd12"	0	0	0	0	0	0	0	0	1	0	0	0
"Samd14"	36	13	5	8	14	40	39	16	7	0	4	1
"Samd15"	10	2	0	5	0	0	0	1	0	0	0	1
"Samd3"	0	0	0	0	0	0	0	11	0	0	0	0
"Samd4"	351	320	344	452	500	635	551	613	0	7	3	0
"Samd4b"	1607	972	1286	1398	1390	1593	1415	1575	831	869	696	960
"Samd5"	0	3	9	0	1	0	0	9	0	0	0	0
"Samd7"	0	0	0	0	0	0	0	0	0	0	0	0
"Samd8"	802	702	788	761	874	1105	1043	1060	558	722	457	546
"Samd9l"	9419	4613	6313	7404	7848	5653	6337	7682	2939	2164	2114	2684
"Samhd1"	11497	5317	6723	7267	8252	6469	6994	8345	11765	4769	3581	6248
"Samm50"	2875	1837	1922	2097	2058	2491	2131	2547	2804	2647	3188	2413
"Samsn1"	781	511	745	749	513	756	660	769	4775	4226	4515	3216
"Samt1"	0	0	0	0	0	0	0	0	0	0	0	0
"Samt2"	0	0	0	0	0	0	0	0	0	0	0	0
"Samt3"	0	0	0	0	0	0	0	0	0	0	0	0
"Samt4"	0	0	0	0	0	0	0	0	0	0	0	0
"Sap130"	467	419	313	495	557	499	421	367	541	476	458	339
"Sap18"	686	553	749	636	660	850	651	673	799	825	956	653
"Sap25"	0	0	0	0	0	1	0	0	0	0	0	1
"Sap30"	2290	1133	1472	1510	1491	1429	1421	1598	2792	1881	2586	1949
"Sap30bp"	905	694	636	734	730	1126	916	934	841	725	882	600
"Sap30l"	776	542	429	476	608	877	586	626	623	524	531	603
"Sapcd1"	0	0	0	0	0	6	0	0	0	7	9	0
"Sapcd2"	34	10	19	38	44	11	17	29	92	78	96	12
"Sar1a"	4348	3268	3480	4083	4204	4228	4344	4255	5223	5120	5329	4626
"Sar1b"	1856	1608	1337	1623	1414	1956	1457	1482	2548	1683	3077	1335
"Saraf"	7438	5397	5861	5722	7404	9351	7817	7753	3999	3891	3759	3227
"Sardh"	286	300	173	276	411	494	328	315	383	637	533	400
"Sarm1"	62	5	13	38	16	22	17	4	2	18	0	6
"Sarnp"	1488	1078	1206	1178	994	1065	1278	1067	1959	1580	2474	1450
"Sars"	2060	1442	1321	1899	1981	2253	1950	1799	1944	1910	2509	1819
"Sars2"	302	263	230	215	244	359	249	221	377	259	250	215
"Sart1"	2536	1401	1270	1394	1628	2043	1870	1834	1482	1873	1390	1623
"Sart3"	2152	1345	1428	1398	1948	1868	1417	1762	1111	1140	1158	1301
"Sash1"	417	327	293	202	374	461	373	438	128	155	108	99
"Sash3"	4139	2880	2803	3655	3245	3758	2788	3334	3130	2771	2580	2345
"Sass6"	1096	539	784	683	647	538	631	733	675	370	422	435
"Sat1"	17265	10810	12109	15033	14408	15779	15296	19075	8801	6404	7947	4490
"Sat2"	53	15	35	70	54	58	82	63	28	9	46	22
"Satb1"	47	81	88	40	69	74	86	102	15	5	14	27
"Satb2"	2	13	6	2	14	0	2	7	9	0	1	2
"Satl1"	0	0	0	0	0	0	0	0	0	0	0	0
"Sav1"	700	476	431	344	502	580	717	833	336	262	247	182
"Saxo1"	0	0	0	0	0	0	0	0	0	0	0	0
"Saxo1os"	0	0	0	0	0	0	0	0	0	0	0	0
"Saxo2"	0	0	0	0	0	0	22	15	0	6	8	10
"Saysd1"	369	321	302	267	365	480	342	296	431	350	426	231
"Sbds"	1808	1515	1352	1521	1718	1840	1559	1811	1783	1404	1682	1090
"Sbf1"	1776	1192	1056	1438	1634	1633	1531	1843	1549	1774	1469	1865
"Sbf2"	5076	4094	4050	3908	6952	6820	6305	7390	2283	2736	1785	1839
"Sbk1"	785	290	407	350	299	348	316	240	787	1152	680	1301
"Sbk2"	0	0	0	0	0	0	0	0	0	3	1	0
"Sbk3"	0	5	0	0	0	0	0	0	0	0	0	0
"Sbno1"	1655	1485	1229	1449	1309	1668	1223	1567	2170	2516	1852	1973
"Sbno2"	2765	2070	2813	2065	3206	3288	4846	3115	3252	3352	3514	3855
"Sbp"	0	0	0	0	0	0	0	0	0	0	0	0
"Sbpl"	0	0	0	0	0	0	0	0	0	0	0	0
"Sbsn"	30	12	7	25	12	14	10	19	5	0	7	2
"Sbspon"	0	0	0	0	0	0	0	10	0	0	0	6
"Sc5d"	715	468	533	488	575	806	643	597	1192	1098	1147	1096
"Scaf1"	1879	1035	875	1055	1760	1656	1400	1424	1106	1067	1016	1203
"Scaf11"	2423	1837	2347	2147	2291	2284	2459	2304	2459	2432	1912	2271
"Scaf4"	1255	1019	675	1200	1539	1561	1287	1069	1188	1126	950	1018
"Scaf8"	1560	1230	1096	1560	1549	1302	1389	1086	1105	998	1041	1047
"Scai"	57	63	84	51	89	134	75	77	102	90	43	30
"Scamp1"	2714	2069	2558	2166	3133	3753	2757	2778	5420	5840	5985	5145
"Scamp2"	17130	9858	10003	11602	17068	17302	14805	15551	4752	5303	4027	5606
"Scamp3"	100	89	106	120	106	113	82	106	114	142	106	91
"Scamp4"	2497	1611	1701	1718	2356	2949	2277	2244	1420	1809	1674	1762
"Scamp5"	5464	3840	3759	3309	6862	7735	6647	6460	459	323	585	504
"Scand1"	1167	701	656	866	877	912	975	832	1025	1102	1199	977
"Scap"	1542	1055	935	1017	1260	1547	1420	1391	969	1126	952	1150
"Scaper"	580	270	377	483	367	256	269	311	340	332	246	300
"Scara3"	107	172	87	699	121	90	26	159	0	0	0	0
"Scara5"	59	148	40	83	33	2	87	34	0	0	0	0
"Scarb1"	3532	2248	2279	2456	3052	3301	2606	3269	2771	2961	2802	2741
"Scarb2"	4784	3086	3074	3308	3777	4765	3942	3785	8782	5525	6414	5264
"Scarf1"	1218	618	331	368	1528	1495	792	626	1055	679	312	358
"Scarf2"	318	201	152	332	274	264	194	128	1058	1120	991	1125
"Scarletltr"	0	3	0	0	0	0	0	0	0	0	2	0
"Scarna10"	0	0	0	0	0	0	0	0	0	0	0	0
"Scarna13"	0	0	0	0	0	0	0	0	2	3	3	0
"Scarna17"	0	0	0	0	0	0	0	0	0	0	0	0
"Scarna2"	0	0	0	0	0	0	0	0	0	0	0	0
"Scarna3a"	0	0	0	0	0	0	0	0	0	0	0	0
"Scarna3b"	0	0	0	0	0	0	0	0	0	0	0	0
"Scarna6"	0	0	0	0	0	0	0	0	0	0	0	0
"Scarna8"	0	0	0	0	0	0	0	0	0	0	0	0
"Scarna9"	0	0	0	0	0	0	0	0	0	0	0	0
"Sccpdh"	359	377	332	344	477	552	472	393	320	407	575	213
"Scd1"	25	45	80	89	56	81	18	25	6	57	38	76
"Scd2"	490	560	362	680	413	468	287	410	488	769	469	798
"Scd3"	0	0	1	1	2	0	0	0	0	2	1	0
"Scd4"	0	1	0	1	0	0	0	18	0	0	3	0
"Scel"	0	0	4	13	0	22	0	15	56	44	52	22
"Scfd1"	1912	1266	1421	1629	1482	1769	1325	1389	2774	1954	2811	1707
"Scfd2"	417	247	405	348	424	380	398	470	593	630	783	587
"Scg2"	104	8	31	67	0	3	52	8	0	0	0	0
"Scg3"	16	0	0	0	0	0	5	0	0	0	0	0
"Scg5"	13	2	6	0	0	10	0	0	0	0	0	0
"Scgb1a1"	0	0	0	0	0	0	0	0	0	0	0	0
"Scgb1b19"	0	0	0	0	0	0	0	0	0	0	0	0
"Scgb1b2"	0	0	0	0	0	0	0	0	0	0	0	0
"Scgb1b20"	0	0	0	0	0	0	0	0	0	0	0	0
"Scgb1b24"	0	0	0	0	0	0	0	0	0	0	0	0
"Scgb1b27"	0	0	0	0	0	0	0	0	0	0	0	0
"Scgb1b29"	0	0	0	0	0	0	0	0	0	0	0	0
"Scgb1b3"	0	0	0	0	0	0	0	0	0	0	0	0
"Scgb1b30"	0	0	0	0	0	0	0	0	0	0	0	0
"Scgb1b7"	0	0	0	0	0	0	0	0	0	0	0	0
"Scgb1c1"	0	0	0	0	10	0	0	0	0	0	0	0
"Scgb2b12"	0	0	0	0	0	0	0	0	0	0	0	0
"Scgb2b15"	0	0	0	0	0	0	0	0	0	0	0	0
"Scgb2b17"	0	0	0	0	0	0	0	0	0	0	0	0
"Scgb2b19"	0	0	0	0	0	0	0	0	0	0	0	0
"Scgb2b2"	0	0	0	0	0	0	0	0	0	0	0	0
"Scgb2b20"	0	0	0	0	0	0	0	0	0	0	0	0
"Scgb2b23-ps"	0	0	0	0	1	0	0	0	0	0	0	0
"Scgb2b24"	0	0	0	0	0	0	0	0	0	0	0	0
"Scgb2b26"	0	0	0	0	0	0	0	0	0	0	0	0
"Scgb2b27"	0	0	0	0	0	0	0	0	0	0	0	0
"Scgb2b3"	0	0	0	0	0	0	0	0	0	0	0	0
"Scgb2b7"	0	0	0	0	0	0	0	0	0	0	0	0
"Scgb3a1"	0	0	0	0	0	0	0	0	0	0	0	0
"Scgb3a2"	0	0	0	0	0	0	0	0	0	0	0	0
"Scgn"	0	0	0	0	0	0	0	0	0	0	0	0
"Schip1"	0	0	0	0	0	0	3	0	0	0	0	0
"Scimp"	3022	1291	1592	1674	775	563	545	722	10	19	8	10
"Scin"	0	0	0	0	1	2	0	1	0	1	2	0
"Sclt1"	276	188	237	345	239	257	225	268	226	231	177	251
"Scly"	485	326	243	387	452	602	527	553	744	637	658	504
"Scmh1"	1013	662	747	785	977	1401	1024	923	700	849	568	701
"Scml2"	22	0	30	32	0	20	26	0	25	20	0	2
"Scml4"	12	2	14	0	17	0	34	0	306	224	338	273
"Scn10a"	0	0	0	0	0	0	0	0	0	0	0	0
"Scn11a"	0	0	0	0	5	0	0	0	0	0	0	0
"Scn1a"	0	0	0	0	0	0	0	3	0	0	0	0
"Scn1b"	1192	902	758	704	1874	2636	1642	1746	3507	3832	3327	3591
"Scn2a1"	0	0	0	1	0	0	0	0	1	0	0	0
"Scn2b"	9	5	1	14	7	5	2	4	22	6	0	9
"Scn3a"	0	0	0	0	0	0	0	0	0	0	0	0
"Scn3b"	20	58	41	3	179	97	93	78	4	0	16	4
"Scn4a"	0	0	0	0	0	0	0	0	0	0	0	4
"Scn4b"	5	1	0	0	0	0	0	9	0	0	0	0
"Scn5a"	6	0	0	0	0	0	0	0	0	0	0	0
"Scn7a"	1	0	23	50	0	23	0	0	0	0	0	0
"Scn8a"	0	0	0	0	7	0	0	0	0	0	0	0
"Scn9a"	0	0	0	0	0	0	0	0	0	0	0	0
"Scnm1"	439	327	295	307	408	496	313	370	406	240	331	251
"Scnn1a"	26	16	6	7	7	103	30	115	10	33	25	29
"Scnn1b"	0	0	0	0	0	0	0	0	0	0	0	0
"Scnn1g"	0	0	0	0	0	0	0	0	0	0	0	0
"Sco1"	411	305	370	285	225	370	375	371	414	387	417	360
"Sco2"	0	0	0	0	0	0	0	0	0	0	0	0
"Scoc"	1741	1363	1348	1148	3114	2717	2626	3100	838	875	1097	729
"Scp2"	7935	6456	6433	6823	6324	7571	6528	7315	8846	8120	8035	7227
"Scp2d1"	0	0	0	0	0	0	0	0	0	0	0	0
"Scpep1"	13005	8671	8897	8905	10868	12357	9906	9977	17616	12066	11092	10311
"Scpep1os"	1	0	0	3	0	3	2	0	0	0	0	1
"Scrg1"	0	0	0	0	2	2	9	0	5	0	5	1
"Scrib"	670	413	368	604	758	575	500	512	480	605	650	585
"Scrn1"	14	2	8	31	11	16	26	5	0	0	0	0
"Scrn2"	50	25	28	27	38	85	95	77	40	52	100	46
"Scrn3"	234	274	327	250	382	565	452	580	497	511	442	321
"Scrt1"	0	0	0	0	0	3	0	0	0	0	0	0
"Scrt2"	0	0	1	0	0	0	0	0	1	2	0	1
"Sct"	0	12	0	0	1	0	0	2	0	0	0	0
"Sctr"	0	0	0	8	2	3	9	0	0	0	0	0
"Scube1"	38	25	6	76	44	34	80	1	69	29	13	65
"Scube2"	0	0	0	0	0	0	0	0	0	0	0	0
"Scube3"	0	0	0	2	0	0	5	0	0	0	0	0
"Scx"	0	0	12	0	10	10	0	0	0	1	0	0
"Scyl1"	2331	1374	1687	1854	2091	2669	2472	2074	2446	2800	2461	2163
"Scyl2"	469	355	278	493	322	521	461	462	679	549	323	311
"Scyl3"	1119	1102	813	886	1178	1132	1234	1017	1009	941	855	894
"Sdad1"	852	603	602	708	578	638	456	533	712	567	614	579
"Sdc1"	50	14	47	50	24	29	34	5	394	318	109	347
"Sdc2"	214	95	82	242	55	18	42	142	0	0	0	0
"Sdc3"	58491	21294	24018	34023	32886	21151	21889	27017	95212	95578	79367	119490
"Sdc4"	5073	3434	5122	4631	4742	6271	6109	5234	112	126	77	76
"Sdcbp"	44356	25396	35023	32164	33677	32517	33941	31556	37401	30572	37337	29358
"Sdcbp2"	2	0	0	5	0	5	0	0	9	1	0	0
"Sdccag3"	2036	1500	1575	1739	1721	2724	1877	2028	1539	1562	1595	1556
"Sdccag8"	1428	846	853	1027	703	596	672	898	817	752	526	528
"Sde2"	2205	1528	2844	1996	2259	1984	2810	2231	1643	1874	1747	1395
"Sdf2"	1219	819	817	854	1379	1661	1406	1120	1176	916	1424	790
"Sdf2l1"	3789	2618	2792	2451	2255	3264	2743	2307	6663	7255	12566	5629
"Sdf4"	7948	4460	5190	5624	6063	6987	6438	6186	11783	11723	11661	8737
"Sdha"	9050	6362	6649	6633	7482	9161	7073	7598	8504	8812	7487	7733
"Sdhaf1"	245	177	179	171	266	356	250	294	255	232	375	210
"Sdhaf2"	1271	877	916	1090	1029	1275	1214	1205	1470	992	1334	1077
"Sdhaf3"	49	65	42	30	74	66	67	49	79	71	124	38
"Sdhaf4"	541	421	330	381	344	422	454	471	585	366	587	323
"Sdhb"	4052	2672	2683	2898	2910	3534	2882	2869	4200	3481	4368	3008
"Sdhc"	2584	1696	2014	1815	2178	2584	2434	2269	3098	2545	3387	2125
"Sdhd"	4611	2794	3033	3296	3544	3575	3652	3393	6655	4626	7911	4243
"Sdk1"	90	6	4	44	16	0	56	22	4	0	1	1
"Sdk2"	0	0	0	19	0	0	0	0	0	0	0	0
"Sdpr"	109	121	91	228	51	110	104	38	0	0	10	0
"Sdr16c5"	0	0	0	0	0	0	0	0	0	0	0	0
"Sdr16c6"	0	0	0	0	0	0	0	0	0	0	0	0
"Sdr39u1"	204	161	160	165	192	240	203	226	188	136	150	125
"Sdr42e1"	238	146	275	238	194	310	317	378	254	284	295	184
"Sdr9c7"	0	0	0	0	0	0	0	0	0	0	0	0
"Sds"	0	0	0	0	0	1	0	0	0	6	0	0
"Sdsl"	5	0	0	0	0	5	11	3	84	96	138	71
"Sebox"	0	0	0	0	0	0	0	0	0	0	0	0
"Sec1"	2	0	0	17	0	0	0	0	0	13	3	0
